,id,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,confirmation_token,confirmed_at,confirmation_sent_at,unconfirmed_email,failed_attempts,unlock_token,locked_at,created_at,updated_at,first_name,last_name,gender_id,country,timezone,admin,welcomed,last_emailed,theme_id,school_id,anon_first_name,anon_last_name,researcher,language_id,date_of_birth,home_state_id,cip_code_id,primary_language_id,started_school,impairment_visual,impairment_auditory,impairment_motor,impairment_cognitive,impairment_other,provider,uid,tokens,instructor,active
0,1,$2a$11$drsz/U48zOXtENt.j32S3ugKr3Ina9f/S5LPYu0wvR6uYs7hMvOxK,,,,306,2021-11-18 20:58:52,2021-11-18 14:39:17,184.171.178.192,184.171.178.213,,,,,0,,,2017-03-02 08:22:26,2023-01-11 21:47:00,Thomas,Garcia,1.0,US,Eastern Time (US & Canada),1.0,1.0,,4,11.0,Thomas,Garcia,0,40,1976-05-10,2772.0,10.0,40.0,1994-08-31,1.0,0.0,0.0,0.0,0.0,email,thomas_garcia_1@abernathy.example.biz,,1,1
1,2,$2a$11$wTwPl8SOgG7vDfE7g1cDX.SnstFCY9NjdFYyF28cAnG2XH4giaxeW,,,,6,2017-03-20 11:36:40,2017-03-15 12:27:20,117.55.136.81,117.55.136.81,,,,,0,,,2017-03-03 07:46:04,2023-01-11 21:47:00,Peter,West,1.0,KR,Seoul,,1.0,,1,2.0,Peter,West,0,40,,,,,,,,,,,email,peter_west_2@mohr-conroy.example.net,,0,1
2,3,$2a$11$/VR7ALzH0iBwn3aLgct0PuH3QYMYhaWo1KNkBSnMp4a3CBZIJMEPe,b6daa41448cd55f2225ae745124f2bf308c3f144b62c3db6fede4ac37cbb711a,2017-03-03 16:19:28,,0,,,,,,,,,0,,,2017-03-03 16:19:27,2023-01-11 21:47:00,Dennis,Simpson,,,Seoul,0.0,,2017-03-05 00:31:31,1,2.0,Dennis,Simpson,0,40,,,,,,,,,,,email,dennis_simpson_3@bednar.example.co,,0,1
3,4,$2a$11$HixD9tiJyi/xX5SRnAuTgeE2XS21xDeNw2h5BCoEeJJhaYSTbFhVm,0c881ce62c2262e1d4b46e30a90cdd06d06d5671f86aa1d5789b6811cab4ce94,2017-03-03 16:19:28,,43,2020-04-22 00:16:21,2019-09-25 01:57:37,69.112.1.185,69.112.1.185,,,,,0,,,2017-03-03 16:19:28,2023-01-11 21:47:00,Theresa,Meyer,2.0,US,Seoul,0.0,1.0,2017-03-05 00:31:31,3,2.0,Theresa,Meyer,0,40,,2743.0,,24.0,,,,,,,email,theresa_meyer_4@schuppe.example.net,,0,1
4,5,$2a$11$o2Ye3h8/wCwkaMoJsTsMke0/Wxg9aRY9Tq42CLs2gDtBpBr97vwBe,9018bdc1922b105a8f6c8b160144ea757143b55d9d0f0c7129352d09be314d0e,2017-03-09 07:15:08,,5,2017-03-07 06:29:13,2017-03-04 08:09:58,223.194.196.107,223.194.196.107,,,,,0,,,2017-03-03 16:19:29,2023-01-11 21:47:00,Douglas,Jones,1.0,US,Seoul,0.0,1.0,,2,2.0,Douglas,Jones,0,40,,,,,,,,,,,email,douglas_jones_5@cummings-anderson.example.io,,0,1
5,6,$2a$11$exEDGQ4XR94RZJoXWvBoXe2MkECa7EbJnC9jZF1ckjLpCMRW4CNDO,,,,71,2017-12-12 06:42:14,2017-12-08 01:31:04,223.194.196.62,211.248.100.209,,,,,0,,,2017-03-05 07:06:17,2023-01-11 21:47:00,Joseph,Harper,2.0,KR,Seoul,0.0,1.0,2017-12-08 00:20:34,1,2.0,Joseph,Harper,0,40,1995-02-08,1177.0,12.0,90.0,2014-03-01,,,,,,email,joseph_harper_6@wyman.example.io,,0,1
6,7,$2a$11$VWQ/cSvCwIRIV34067E9.uXlMHXGaaV6aLFaCXNaHoi1jEi/E2xZu,,,2017-03-25 09:34:04,35,2017-06-16 02:09:53,2017-06-12 02:19:46,49.1.200.226,223.194.196.112,,,,,0,,,2017-03-05 07:06:18,2023-01-11 21:47:01,Andrew,Fields,2.0,UZ,Seoul,0.0,1.0,2017-06-16 00:31:47,5,2.0,Andrew,Fields,0,40,,,,,,,,,,,email,andrew_fields_7@prohaska.example.io,,0,1
7,8,$2a$11$lk5/9wK/4hKQ6FXVXxE3Ye3WPCieMzE4M8WIHjzM2H7MDzGrgZWn6,,,,44,2017-11-25 08:30:46,2017-11-16 07:09:32,211.36.137.172,223.194.196.62,,,,,0,,,2017-03-05 07:06:18,2023-01-11 21:47:01,Paula,Price,1.0,KR,Seoul,0.0,1.0,2017-12-11 00:20:58,1,2.0,Paula,Price,0,40,,373.0,49.0,40.0,,,,,,,email,paula_price_8@turcotte.example.name,,0,1
8,9,$2a$11$ovO2dQWQ.JwCTh2qF5jfZeA4311xBukxR7hwzvRGUAI5ePNMb5Rsy,,,,0,,,,,,,,,0,,,2017-03-05 07:06:18,2023-01-11 21:47:01,Kathy,Adams,,,Seoul,0.0,,2017-05-14 00:31:34,1,2.0,Kathy,Adams,0,40,,,,,,,,,,,email,kathy_adams_9@swaniawski.example.info,,0,1
9,10,$2a$11$5.A49yYsZUMTTBcSP8oaj.GyNEaA/GY/uWOYZy2Clo4ykblhujjWu,,,,30,2017-06-16 01:16:38,2017-06-10 00:48:14,110.70.59.142,119.196.95.235,,,,,0,,,2017-03-05 07:06:19,2023-01-11 21:47:01,Kevin,Wells,1.0,KR,Seoul,0.0,1.0,2017-06-16 00:31:49,1,2.0,Kevin,Wells,0,40,,,,,,,,,,,email,kevin_wells_10@volkman.example.info,,0,1
